,SASTRA - Main Campus,,,,,
39,24/07/22,Sun,,,,
40,25/07/22,Mon,,,,"End 
Semester 
Exam Starts"
,Date,Day,"B. Tech./ 
B.Optom./ 
M.Tech./ 
M.B.A./ 
M.C.A./ M.Sc.","B.Com.(CA)/ 
B.Com. (BFSI) / 
M.Sc. (Intg.)","BA.,LL.B./ 
BBA.,LL.B./ 
B.Com.,LL.B.","B.A., B.Ed. / 
B.Sc., B.Ed."
0,26/07/22,Tue,,,,
1,27/07/22,Wed,,,,
2,28/07/22,Thu,,,,
3,29/07/22,Fri,,,,
4,30/07/22,Sat,,,,
5,31/07/22,Sun,,,,
6,01/08/22,Mon,,,,
7,02/08/22,Tue,,,,
8,03/08/22,Wed,,,,
9,04/08/22,Thu,,,,
10,05/08/22,Fri,,,,
